Pais,EsperanzaDeVida,InversionSalud,InversionEducacion
Eswatini,63.028,7.2226615,5.572741757
Sint Maarten (Dutch part),76.18,,4.274205085
Seychelles,73.70243902,4.2375164,3.658589048
Syrian Arab Republic,72.79,4.15098715,
Turks and Caicos Islands,77.918,,3.282619953
Chad,54.528,4.52549791,2.60161189
East Asia & Pacific (IDA & IBRD countries),75.96103475,5.15470341,2.284901512
Europe & Central Asia (IDA & IBRD countries),74.18836548,6.076740961,3.90450382
Togo,62.29,6.04134083,3.778110833
Thailand,75.291,5.35470581,2.611870228
Tajikistan,71.562,7.62917423,5.398297706
Turkmenistan,69.913,5.37103748,3.580049992
Latin America & the Caribbean (IDA & IBRD countries),74.56842935,7.852739355,3.816587443
Timor-Leste,67.368,14.32454681,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",70.96543255,4.625817597,3.153000116
Tonga,72.635,8.13607597,5.31016278
South Asia (IDA & IBRD),72.01157313,3.264518034,3.09202236
Sub-Saharan Africa (IDA & IBRD countries),61.85717959,4.987845513,3.097264268
Trinidad and Tobago,73.331,6.43106365,2.673310041
Tunisia,76.05,6.96380186,6.804989607
Turkiye,77.591,3.70338893,3.095720053
Tuvalu,66.852,18.38210106,13.76219125
Tanzania,66.879,3.1119566,3.238245038
Uganda,67.675,4.39089251,2.561050272
Ukraine,72.658,,
Upper middle income,76.00895943,5.632255326,3.589514971
Uruguay,76.468,8.94532204,4.507329941
United States,77.43414634,16.49613953,
Uzbekistan,72.147,7.36325455,5.23477171
St. Vincent and the Grenadines,71.191,4.68767738,7.075750346
"Venezuela, RB",72.566,4.55047369,
British Virgin Islands,77.177,,2.484019995
Virgin Islands (U.S.),80.3195122,,
Viet Nam,74.502,4.58891582,2.887386894
Vanuatu,71.302,4.14742947,10.70334565
World,72.96829026,9.842535439,3.847229616
Samoa,71.55,6.3012085,6.159787806
Kosovo,77.623,,
"Yemen, Rep.",67.952,6.18666697,
South Africa,65.454,8.77086639,6.155990124
Zambia,65.279,5.25592279,3.65884092
Zimbabwe,62.36,3.62880659,
